"","Begin_Date","url","Total_form_shown","Total_form_submitted"
"1",2018-04-08,"Watson Campaign Automation",1049,162
"2",2018-04-15,"Watson Campaign Automation",946,142
"3",2018-04-22,"Watson Campaign Automation",1188,162
"4",2018-04-29,"Watson Campaign Automation",1069,139
"5",2018-05-06,"Watson Campaign Automation",1036,134
"6",2018-05-13,"Watson Campaign Automation",1164,178
"7",2018-05-20,"Watson Campaign Automation",1125,159
"8",2018-05-27,"Watson Campaign Automation",2066,280
"9",2018-06-03,"Watson Campaign Automation",1014,151
"10",2018-06-10,"Watson Campaign Automation",963,131
"11",2018-04-08,"tealeaf",5,1
"12",2018-04-15,"tealeaf",5,1
"13",2018-04-22,"tealeaf",7,0
"14",2018-04-29,"tealeaf",10,1
"15",2018-05-06,"tealeaf",344,28
"16",2018-05-13,"tealeaf",175,21
"17",2018-05-20,"tealeaf",173,15
"18",2018-05-27,"tealeaf",342,34
"19",2018-06-03,"tealeaf",187,12
"20",2018-06-10,"tealeaf",179,16
"21",2018-04-08,"digitalexperience",4037,1
"22",2018-04-15,"digitalexperience",4038,1
"23",2018-04-22,"digitalexperience",2251,4
"24",2018-04-29,"digitalexperience",592,1
"25",2018-05-06,"digitalexperience",10,0
"26",2018-05-13,"digitalexperience",21,4
"27",2018-05-20,"digitalexperience",21,1
"28",2018-05-27,"digitalexperience",14,0
"29",2018-06-03,"digitalexperience",14,1
"30",2018-06-10,"digitalexperience",22,1
"31",2018-04-29,"digitalanalytics",46,9
"32",2018-05-06,"digitalanalytics",9,2
"33",2018-05-27,"digitalanalytics",2,2
"34",2018-06-03,"digitalanalytics",12,1
"35",2018-06-10,"digitalanalytics",5,0
